chembl_id_ligand,smiles,activity_type
CHEMBL3901271,CC(C)Oc1cc2c(-c3cc(N4CCOCC4C)ncn3)n[nH]c2cc1F,Active
CHEMBL3933109,CC(C)Oc1cc2c(-c3cc(N4CCO[C@@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL4113861,CC(C)Oc1cc2c(-c3cc(N4CCO[C@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3930912,CC(C)Oc1cc2c(-c3cc(N4CCS(=O)(=O)CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL4106457,CC(C)Oc1cc2c(-c3cc(N4CC[C@@H](CO)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL4108580,CC(C)Oc1cc2c(-c3cc(N4CC[C@@H](N)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3904489,CC(C)Oc1cc2c(-c3cc(N4CC[C@H](CO)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3986785,CC(C)Oc1cc2c(-c3cc(N4CC[C@H](N(C)C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3910578,CC(C)Oc1cc2c(-c3cc(N4CC[C@H](N)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3892022,CC(C)Oc1cc2c(-c3cc(N4CC[S+]([O-])CC4)ncn3)n[nH]c2cc1F,Active
CHEMBL3966843,CC(C)Oc1cc2c(-c3cc(N4CCc5oncc5C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3955624,CC(C)Oc1cc2c(-c3cc(N4CCn5ncnc5C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3918740,CC(C)Oc1cc2c(-c3cc(N4C[C@H](C)N(C)[C@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3914976,CC(C)Oc1cc2c(-c3cc(N4C[C@H](C)O[C@H](C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3930240,CC(C)Oc1cc2c(-c3cc(N4C[C@H](F)[C@@H](F)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3964794,CC(C)Oc1cc2c(-c3cc(N4C[C@H](N)C[C@@H]4C)ncn3)n[nH]c2cc1F,Active
CHEMBL3948602,CC(C)Oc1cc2c(-c3cc(N4C[C@H](O)[C@@H](N(C)C)C4)ncn3)n[nH]c2cc1F,Active
CHEMBL3891431,CC(C)Oc1cc2c(-c3cc(N4C[C@H](O)[C@@H](N)[C@@H]4C)ncn3)n[nH]c2cc1F,Active
CHEMBL3895039,CC(C)Oc1cc2c(-c3cc(N4C[C@H](O)[C@@H](O)[C@@H]4C)ncn3)n[nH]c2cc1F,Active
CHEMBL3946153,CC(C)Oc1cc2c(-c3cc(N4[C@@H](C)COC[C@H]4C)ncn3)n[nH]c2cc1F,Active
CHEMBL3971462,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C=CSCC4)ncn3)c2c1,Active
CHEMBL3891915,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC(F)(F)C4)ncn3)c2c1,Active
CHEMBL3897367,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC(S(C)(=O)=O)C4)ncn3)c2c1,Active
CHEMBL3915912,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC(n5cccn5)C4)ncn3)c2c1,Active
CHEMBL3895380,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC(n5cnnc5)C4)ncn3)c2c1,Active
CHEMBL3948671,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC5CCC(C4)O5)ncn3)c2c1,Active
CHEMBL3916009,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(C#N)CC4)ncn3)c2c1,Active
CHEMBL3922307,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(C(=O)O)CC4)ncn3)c2c1,Active
CHEMBL3951760,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(C(C)(C)O)CC4)ncn3)c2c1,Active
CHEMBL3918499,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(CF)C4)ncn3)c2c1,Active
CHEMBL3950409,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(F)(CO)CC4)ncn3)c2c1,Active
CHEMBL3953967,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(F)(F)CC4)ncn3)c2c1,Active
CHEMBL3929312,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(O)(C(F)(F)F)CC4)ncn3)c2c1,Active
CHEMBL3900243,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(O)CC4)ncn3)c2c1,Active
CHEMBL3972675,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(n5cccn5)CC4)ncn3)c2c1,Active
CHEMBL3952858,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(n5ccnc5)C4)ncn3)c2c1,Active
CHEMBL3936351,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC4)ncn3)c2c1,Active
CHEMBL3950044,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC5(CCCO5)CC4)ncn3)c2c1,Active
CHEMBL3932625,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC5(CCNC5=O)CC4)ncn3)c2c1,Active
CHEMBL3901579,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCCC(C(C)(C)O)C4)ncn3)c2c1,Active
CHEMBL3966175,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCCC4)ncn3)c2c1,Active
CHEMBL3952422,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCCCC4)ncn3)c2c1,Active
CHEMBL3911415,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C(=O)C5CC5)CC4)ncn3)c2c1,Active
CHEMBL3944894,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C(=O)c5ccco5)CC4)ncn3)c2c1,Active
CHEMBL3975802,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C(C)C)C(=O)C4)ncn3)c2c1,Active
CHEMBL3921447,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C(C)C)CC4)ncn3)c2c1,Active
CHEMBL3910517,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C)C(=O)C4)ncn3)c2c1,Active
CHEMBL3919965,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C)CC4)ncn3)c2c1,Active
CHEMBL3983779,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(C5CC5)CC4)ncn3)c2c1,Active
CHEMBL3908542,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCF)C(=O)C4)ncn3)c2c1,Active
CHEMBL3967186,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCF)CC4)ncn3)c2c1,Active
CHEMBL3967517,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCO)CC4)ncn3)c2c1,Active
CHEMBL3977651,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(Cc5ccncc5)CC4)ncn3)c2c1,Active
CHEMBL3932899,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(S(=O)(=O)C5CC5)CC4)ncn3)c2c1,Active
CHEMBL3977858,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(S(C)(=O)=O)CC4)ncn3)c2c1,Active
CHEMBL3960834,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(c5ccncn5)CC4)ncn3)c2c1,Active
CHEMBL3926553,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(c5cnn(C)c5)CC4)ncn3)c2c1,Active
CHEMBL3956871,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(c5ncccn5)CC4)ncn3)c2c1,Active
CHEMBL3934311,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(c5nnc(C6CC6)o5)CC4)ncn3)c2c1,Active
CHEMBL3928101,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(c5nncs5)CC4)ncn3)c2c1,Active
CHEMBL3896900,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCNCC4)ncn3)c2c1,Active
CHEMBL3962713,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCOC(C)(C)C4)ncn3)c2c1,Active
CHEMBL3977482,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCOC5(CC5)C4)ncn3)c2c1,Active
CHEMBL3928102,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,Active
CHEMBL3944850,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCOCC4C)ncn3)c2c1,Active
CHEMBL3953571,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCO[C@@H](C)C4)ncn3)c2c1,Active
CHEMBL4111923,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCO[C@H](C)C4)ncn3)c2c1,Active
CHEMBL4112183,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC[C@@H](F)C4)ncn3)c2c1,Active
CHEMBL4115404,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC[C@@H](N)C4)ncn3)c2c1,Active
CHEMBL3934534,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC[C@H](F)C4)ncn3)c2c1,Active
CHEMBL3905416,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC[C@H](N)C4)ncn3)c2c1,Active
CHEMBL3986028,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC[S+]([O-])CC4)ncn3)c2c1,Active
CHEMBL3922687,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCn5nc(C6CC6)nc5C4)ncn3)c2c1,Active
CHEMBL3891819,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@@H]5C[C@H]4CO5)ncn3)c2c1,Active
CHEMBL3948696,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@H](C)O[C@H](C)C4)ncn3)c2c1,Active
CHEMBL3952572,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@H](F)[C@@H](F)C4)ncn3)c2c1,Active
CHEMBL3906572,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@H](N)C[C@@H]4C)ncn3)c2c1,Active
CHEMBL3974673,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@H](O)[C@@H](N(C)C)C4)ncn3)c2c1,Active
CHEMBL3897651,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@H](O)[C@@H](N)[C@@H]4C)ncn3)c2c1,Active
CHEMBL3937664,CC(C)Oc1ccc2[nH]nc(-c3cc(N4C[C@H](O)[C@@H](O)[C@@H]4C)ncn3)c2c1,Active
CHEMBL4075195,CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4CCC(n5cnnc5)CC4)c3)c2c1,Active
CHEMBL4075961,CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4CCN(C)C(=O)C4)c3)c2c1,Active
CHEMBL4093185,CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4CCN(C)CC4)c3)c2c1,Active
CHEMBL4065525,CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4CCN(S(C)(=O)=O)CC4)c3)c2c1,Active
CHEMBL4100904,CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4CCOCC4)c3)c2c1,Active
CHEMBL4103352,CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4C[C@@H](F)[C@H](F)C4)c3)c2c1,Active
CHEMBL3651741,CC(C)Oc1nccc2[nH]nc(-c3cc(C(=O)N(C)C)n(C(C)C)c3)c12,Active
CHEMBL3655552,CC(C)Oc1nccc2[nH]nc(-c3cc(C(=O)N4CCCC4)n(C(C)C)c3)c12,Active
CHEMBL3651742,CC(C)Oc1nccc2[nH]nc(-c3cc(C(=O)N4CCCCC4)n(C(C)C)c3)c12,Active
CHEMBL3655560,CC(C)Oc1nccc2[nH]nc(-c3cc(C(=O)N4CCOCC4)n(C(C)C)c3)c12,Active
CHEMBL2152708,CC(C)Oc1nccc2[nH]nc(-c3cc(C(=O)NC4COC4)n(C(C)C)c3)c12,Active
CHEMBL3651804,CC(C)c1nc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)n[nH]1,Active
CHEMBL4441650,CC(C)n1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)nn1,Active
CHEMBL3651751,CC(C)n1cc(-c2n[nH]c3ccnc(OC(C)C(F)(F)F)c23)cn1,Active
CHEMBL4444153,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCCCC4)c23)cn1,Active
CHEMBL3655556,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCOC4)c23)cn1,Active
CHEMBL3655553,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc1C(=O)N1CCC1,Active
CHEMBL3651747,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc1C(=O)NC1COC1,Active
CHEMBL4589022,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1,Active
CHEMBL3651750,CC(C)n1cc(-c2n[nH]c3ccnc(OCC(F)(F)F)c23)cn1,Active
CHEMBL3651801,CC(C)n1cc(Nc2[nH]nc3ccnc(OC4CCOCC4)c23)cn1,Active
CHEMBL3651775,CC(C)n1cnc2ccc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)cc21,Active
CHEMBL2002992,CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1,Active
CHEMBL1977138,CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F,Active
CHEMBL3925366,CC(O)C1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)C1,Active
CHEMBL3651810,CC(Oc1nccc2[nH]nc(-c3ccnc(N4CCOCC4)c3)c12)C(F)(F)F,Active
CHEMBL3936325,CC1(C)CC(=O)C=C(c2ccc3[nH]nc(-c4cc(N5CCC(F)(F)CC5)ncn4)c3c2)C1,Active
CHEMBL3972368,CC1(C)CC(=O)C=C(c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)C1,Active
CHEMBL4764691,CC1(N2CCC(c3cc4c(cnn4-c4cnn(C56CC(C5)C6)c4)cc3Cl)CC2)COC1,Active
CHEMBL4559776,CC1(O)CC2(CN(c3cc(-n4ncc5ccc(C6(C#N)CC7(CC7)C6)cc54)ncn3)C2)C1,Active
CHEMBL4093321,CC1(Oc2ccc3[nH]nc(-c4cc(N5CCN(S(C)(=O)=O)CC5)ncn4)c3c2)CC1,Active
CHEMBL4066983,CC1(Oc2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)CC1,Active
CHEMBL3651767,CC1CCCN(c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)C1,Active
CHEMBL3928018,CC1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,Active
CHEMBL3947673,CCC(=O)N1CCN(c2cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL3985545,CCC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL3974507,CCC(C#N)Cn1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(C)n1,Active
CHEMBL3641782,CCC1(CC)CN(C(=O)c2ccc(Nc3ncc(Cl)c(NC)n3)c(OC)c2)CCO1,Active
CHEMBL3891762,CCCN1CCN(c2cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn2)CC1=O,Active
CHEMBL3969038,CCCN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL3952893,CCCN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1=O,Active
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,Active
CHEMBL3797431,CCCSc1sc(-c2cc[nH]n2)c2c1C(=O)NC[C@@H]2CC,Active
CHEMBL3641874,CCN(C(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1)C(C)C,Active
CHEMBL2006564,CCN(C(C)=O)c1ccc(Nc2nc(NC3CC3)c3nc[nH]c3n2)cc1,Active
CHEMBL3641868,CCN(CC)C(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,Active
CHEMBL3643962,CCN(CC)C(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NC)n2)c(OC)c1,Active
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,Active
CHEMBL3393347,CCN(CC)c1ncnc2[nH]cc(-c3cccc(C#N)c3)c12,Active
CHEMBL3643989,CCN(CCOC)C(=O)c1cc(OC)c(Nc2ncc(C(F)(F)F)c(NC)n2)cc1F,Active
CHEMBL4643632,CCN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc21,Active
CHEMBL4644273,CCN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(NS(C)(=O)=O)cc3OC)ncc21,Active
CHEMBL3641808,CCN1CCN(C(=O)c2ccc(Nc3ncc(Br)c(OC)n3)c(OC)c2)CC1,Active
CHEMBL3694823,CCN1CCN(C(=O)c2cn(C)c3cc(Nc4ncc(C(F)(F)F)c(NC)n4)c(Cl)cc23)CC1,Active
CHEMBL3927721,CCN1CCN(c2cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL3914353,CCN1CCN(c2cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn2)CC1=O,Active
CHEMBL3890426,CCN1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1,Active
CHEMBL3923675,CCN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,Active
CHEMBL3946512,CCN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1=O,Active
CHEMBL3914638,CCN1CCN(c2cc(-c3n[nH]c4ccc(OC)cc34)ncn2)CC1,Active
CHEMBL3694810,CCN1Cc2c(ccc(Nc3ncc(C(F)(F)F)c(NC)n3)c2OC)C1=O,Active
CHEMBL3641870,CCNC(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,Active
CHEMBL1983715,CCNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)n2)s1,Active
CHEMBL3899054,CCNc1nc(Nc2cc(C#N)nn2C)ncc1C(F)(F)F,Active
CHEMBL3122119,CCNc1nc(Nc2cc(C(C)(C)C#N)nn2C)ncc1C(F)(F)F,Active
CHEMBL3980796,CCNc1nc(Nc2cc(C)c(S(C)(=O)=O)cc2OC)ncc1C(F)(F)F,Active
CHEMBL3681033,CCNc1nc(Nc2cc(F)c(-c3nnc(C)o3)cc2OC)ncc1C(F)(F)F,Active
CHEMBL3641896,CCNc1nc(Nc2cc(F)c(C(=O)N(C)C)cc2OC)ncc1C#N,Active
CHEMBL3643985,CCNc1nc(Nc2cc(F)c(C(=O)N(C)CCOC)cc2OC)ncc1C(F)(F)F,Active
CHEMBL3643988,CCNc1nc(Nc2cc(F)c(C(=O)N(CC)CCOC)cc2OC)ncc1C(F)(F)F,Active
CHEMBL3643987,CCNc1nc(Nc2cc(F)c(C(=O)N3CCC[C@H]3COC)cc2OC)ncc1C(F)(F)F,Active
CHEMBL3643992,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C#N,Active
