molecule_chembl_id,type,relation,value,units,value_nM
CHEMBL419470,IC50,=,22.1,nM,22.1
CHEMBL80221,IC50,=,161.0,nM,161.0
CHEMBL94,IC50,=,27.9,nM,27.9
CHEMBL431844,IC50,=,31.5,nM,31.5
CHEMBL80247,IC50,=,13.8,nM,13.8
CHEMBL418917,IC50,=,40.8,nM,40.8
CHEMBL77896,IC50,=,1090.0,nM,1090.0
CHEMBL369661,IC50,=,68.9,nM,68.9
CHEMBL419457,IC50,,,nM,
CHEMBL94,IC50,=,61.0,nM,61.0
CHEMBL502,IC50,=,2.33,nM,2.33
CHEMBL74089,IC50,=,21.0,nM,21.0
CHEMBL134057,IC50,=,9.4,nM,9.4
CHEMBL76640,IC50,=,9890.0,nM,9890.0
CHEMBL76241,IC50,=,330.0,nM,330.0
CHEMBL431784,IC50,=,56.7,nM,56.7
CHEMBL51934,IC50,=,164.0,nM,164.0
CHEMBL352500,IC50,=,4.5,nM,4.5
CHEMBL311118,IC50,,,nM,
CHEMBL292314,IC50,=,1.8,nM,1.8
CHEMBL355740,IC50,=,84.3,nM,84.3
CHEMBL54727,IC50,=,24.0,nM,24.0
CHEMBL75919,IC50,=,3500.0,nM,3500.0
CHEMBL95,IC50,=,33.5,nM,33.5
CHEMBL309351,IC50,=,231.0,nM,231.0
CHEMBL310934,IC50,,,nM,
CHEMBL75743,IC50,=,1490.0,nM,1490.0
CHEMBL76135,IC50,=,41130.0,nM,41130.0
CHEMBL440497,IC50,=,3560.0,nM,3560.0
CHEMBL368196,IC50,=,42.2,nM,42.2
CHEMBL62084,IC50,=,743.0,nM,743.0
CHEMBL172118,IC50,=,1100.0,nM,1100.0
CHEMBL1202875,IC50,=,710.0,nM,710.0
CHEMBL95,IC50,=,143.0,nM,143.0
CHEMBL62084,IC50,=,3680.0,nM,3680.0
CHEMBL134057,IC50,=,39.0,nM,39.0
CHEMBL436367,IC50,=,455.0,nM,455.0
CHEMBL132365,IC50,=,615.0,nM,615.0
CHEMBL3215535,IC50,=,140.0,nM,140.0
CHEMBL1202865,IC50,=,120.0,nM,120.0
CHEMBL133520,IC50,=,335.0,nM,335.0
CHEMBL130373,IC50,=,42.0,nM,42.0
