molecule_chembl_id,pchembl_value,relation,type,units,value
CHEMBL297316,,=,kn,M-1 min-1,15.76
CHEMBL297316,,>,IC50,mM,1.0
CHEMBL297316,,=,kOX,M-1 min-1,134.0
CHEMBL297316,,=,kHOX,M-1 min-1,57.1
CHEMBL65667,5.42,=,IC50,uM,3.8
CHEMBL431519,7.40,=,IC50,uM,0.04
CHEMBL14598,,,IC50,mM,
CHEMBL296429,,=,kn,M-1 min-1,23.19
CHEMBL296429,,>,IC50,mM,1.0
CHEMBL296429,,=,kOX,M-1 min-1,79.3
CHEMBL296429,,=,kHOX,M-1 min-1,41.0
CHEMBL154972,7.14,=,IC50,nM,73.0
CHEMBL152722,5.51,=,IC50,nM,3100.0
CHEMBL544022,,=,kn,M-1 min-1,15.18
CHEMBL544022,,=,IC50,mM,0.52
CHEMBL544022,,=,kOX,M-1 min-1,74.8
CHEMBL544022,,,kHOX,M-1 min-1,45.0
CHEMBL544022,,,Rmax,,28.6
CHEMBL349127,5.35,=,IC50,nM,4500.0
CHEMBL349127,,=,EC30,uM,1.7
CHEMBL156659,5.92,=,IC50,nM,1200.0
CHEMBL45118,,=,kn,M-1 min-1,59.6
CHEMBL45118,,>,IC50,mM,1.0
CHEMBL45118,,=,kOX,M-1 min-1,73.2
CHEMBL45118,,=,kHOX,M-1 min-1,32.4
CHEMBL45118,,,Rmax,%,8.5
CHEMBL47284,,,kn,M-1 min-1,
CHEMBL47284,,,IC50,mM,
CHEMBL542609,,=,kn,M-1 min-1,17.7
CHEMBL542609,,>,IC50,mM,1.0
CHEMBL542609,,=,kOX,M-1 min-1,93.7
CHEMBL542609,,,kHOX,M-1 min-1,38.3
CHEMBL155322,6.27,=,IC50,nM,540.0
CHEMBL155322,,=,EC30,uM,0.91
CHEMBL154211,7.52,=,IC50,nM,30.0
CHEMBL154211,,=,EC30,uM,0.016
CHEMBL1203537,6.08,=,IC50,nM,830.0
CHEMBL1203537,,=,EC30,uM,4.1
CHEMBL86,,>,IC50,nM,20000.0
CHEMBL86,,=,EC30,uM,0.43
CHEMBL47375,,=,kn,M-1 min-1,52.6
CHEMBL47375,,>,IC50,mM,1.0
CHEMBL47375,,=,kOX,M-1 min-1,53.7
CHEMBL47375,,=,kHOX,M-1 min-1,23.4
CHEMBL47375,,,Rmax,%,5.6
CHEMBL542360,,=,kn,M-1 min-1,9.46
CHEMBL542360,,>,IC50,mM,1.0
CHEMBL542360,,=,kOX,M-1 min-1,75.4
CHEMBL542360,,,kHOX,M-1 min-1,38.8
CHEMBL542360,,,Rmax,%,8.0
CHEMBL345849,6.41,=,IC50,nM,390.0
CHEMBL345849,,=,EC30,uM,0.43
CHEMBL154689,6.41,=,IC50,nM,390.0
CHEMBL154689,,=,EC30,uM,0.37
CHEMBL346733,6.37,=,IC50,nM,430.0
CHEMBL346733,,=,EC30,uM,0.54
CHEMBL416464,,=,kn,M-1 min-1,69.8
CHEMBL416464,,>,IC50,mM,1.0
CHEMBL416464,,=,kOX,M-1 min-1,35.7
CHEMBL416464,,,kHOX,M-1 min-1,11.9
CHEMBL416464,,,Rmax,%,
CHEMBL47815,,=,kn,M-1 min-1,9.29
CHEMBL47815,,,IC50,mM,
CHEMBL1203539,6.22,=,IC50,nM,600.0
CHEMBL1203539,,=,EC30,uM,1.0
CHEMBL347729,,>,IC50,nM,2000.0
CHEMBL296786,,=,kn,M-1 min-1,15.18
CHEMBL296786,,>,IC50,mM,1.0
CHEMBL296786,,=,kOX,M-1 min-1,203.0
CHEMBL296786,,=,kHOX,M-1 min-1,148.0
CHEMBL296786,,,Rmax,%,59.4
CHEMBL63173,4.68,=,IC50,uM,21.0
CHEMBL433041,6.54,=,IC50,uM,0.29
CHEMBL291233,,=,kOX,M-1 min-1,2637.0
CHEMBL291233,,=,kHOX,M-1 min-1,1400.0
CHEMBL291233,,,Rmax,%,48.6
CHEMBL292788,6.16,=,IC50,uM,0.7
CHEMBL33051,,=,kn,M-1 min-1,16.3
CHEMBL33051,,=,IC50,mM,0.46
CHEMBL33051,,=,kOX,M-1 min-1,7242.0
CHEMBL33051,,=,kHOX,M-1 min-1,4930.0
CHEMBL33051,,=,Rmax,%,79.6
CHEMBL155392,6.20,=,IC50,nM,630.0
CHEMBL155392,,=,EC30,uM,2.1
CHEMBL153311,5.68,=,IC50,nM,2100.0
CHEMBL153311,,=,EC30,uM,8.5
CHEMBL543546,,=,kn,M-1 min-1,12.28
CHEMBL543546,,=,IC50,mM,0.33
CHEMBL543546,,=,kOX,M-1 min-1,68.2
CHEMBL543546,,=,kHOX,M-1 min-1,48.8
CHEMBL1420,,=,kn,M-1 min-1,50.4
CHEMBL1420,,=,IC50,mM,0.34
CHEMBL1420,,=,kOX,M-1 min-1,2477.0
CHEMBL1420,,=,kHOX,M-1 min-1,717.0
CHEMBL1420,,,Rmax,%,28.2
CHEMBL556172,,=,kn,M-1 min-1,6.3
CHEMBL556172,,>,IC50,mM,1.0
CHEMBL556172,,=,Rmax,%,2.2
CHEMBL154263,6.54,=,IC50,nM,290.0
CHEMBL154263,,=,EC30,uM,0.26
CHEMBL544669,,=,kn,M-1 min-1,12.3
CHEMBL544669,,=,IC50,mM,0.21
CHEMBL544669,,=,kOX,M-1 min-1,71.9
CHEMBL544669,,=,kHOX,M-1 min-1,58.7
CHEMBL544669,,,Rmax,%,35.0
CHEMBL62664,7.40,=,IC50,uM,0.04
CHEMBL155111,7.10,=,IC50,nM,80.0
CHEMBL155111,,=,EC30,uM,0.31
CHEMBL1203534,7.02,=,IC50,nM,95.0
CHEMBL1203534,,=,EC30,uM,0.081
CHEMBL541044,,=,kn,M-1 min-1,25.2
CHEMBL541044,,=,IC50,mM,0.71
CHEMBL541044,,,Rmax,%,14.6
CHEMBL543779,,=,kn,M-1 min-1,4.43
CHEMBL543779,,=,IC50,mM,0.18
CHEMBL543779,,=,kOX,M-1 min-1,57.8
CHEMBL543779,,,kHOX,M-1 min-1,45.8
CHEMBL155495,,>,IC50,nM,20000.0
CHEMBL64011,7.22,=,IC50,uM,0.06
CHEMBL65585,7.16,=,IC50,uM,0.07
CHEMBL347539,6.55,=,IC50,nM,280.0
CHEMBL347539,,=,EC30,uM,2.0
CHEMBL154433,4.96,=,IC50,nM,11000.0
CHEMBL154433,,=,EC30,uM,13.0
CHEMBL157208,5.82,=,IC50,nM,1500.0
CHEMBL157208,,=,EC30,uM,2.9
CHEMBL1790041,6.19,=,IC50,nM,650.0
CHEMBL1790041,,=,EC30,uM,1.8
CHEMBL65356,6.03,=,IC50,uM,0.93
CHEMBL154366,6.43,=,IC50,nM,370.0
CHEMBL154366,,=,EC30,uM,0.41
CHEMBL153821,5.35,=,IC50,nM,4500.0
CHEMBL416644,,=,kn,M-1 min-1,15.36
CHEMBL416644,,=,IC50,mM,0.72
CHEMBL416644,,=,kOX,M-1 min-1,251.2
CHEMBL416644,,=,kHOX,M-1 min-1,166.0
CHEMBL94,7.52,=,IC50,uM,0.03
CHEMBL303574,5.12,=,IC50,uM,7.6
CHEMBL65018,7.10,=,IC50,uM,0.08
CHEMBL296277,,=,kn,M-1 min-1,4.38
CHEMBL296277,,>,IC50,mM,1.0
CHEMBL296277,,=,kOX,M-1 min-1,94.3
CHEMBL296277,,=,kHOX,M-1 min-1,83.3
CHEMBL66309,6.42,=,IC50,uM,0.38
CHEMBL1203535,5.48,=,IC50,nM,3300.0
CHEMBL1203535,,=,EC30,uM,1.4
CHEMBL296560,,=,kn,M-1 min-1,19.9
CHEMBL296560,,>,IC50,mM,1.0
CHEMBL296560,,=,kOX,M-1 min-1,78.0
CHEMBL296560,,=,kHOX,M-1 min-1,51.8
CHEMBL296560,,,Rmax,%,51.8
CHEMBL555477,,,kn,M-1 min-1,
CHEMBL555477,,,IC50,mM,
CHEMBL152260,6.43,=,IC50,nM,370.0
CHEMBL152260,,=,EC30,uM,0.46
CHEMBL154950,5.03,=,IC50,nM,9300.0
CHEMBL154950,,=,EC30,uM,7.2
CHEMBL296669,,=,kn,M-1 min-1,46.6
CHEMBL296669,,>,IC50,mM,1.0
CHEMBL296669,,,Rmax,%,4.6
CHEMBL1203536,,=,EC30,uM,11.0
CHEMBL1203538,6.92,=,IC50,nM,120.0
CHEMBL1203538,,=,EC30,uM,0.32
CHEMBL19060,,=,Log IC50,,5.14
CHEMBL422977,,=,Log IC50,,5.35
CHEMBL11805,,=,Log IC50,,6.77
CHEMBL11805,9.98,=,Ki,nM,0.104
CHEMBL302179,,=,Log IC50,,5.19
CHEMBL94,,=,Log IC50,,7.85
CHEMBL208599,10.59,=,Ki,nM,0.026
CHEMBL27673,,=,Log IC50,,5.27
CHEMBL60745,8.79,=,Ki,nM,1.63
CHEMBL132377,,=,Log IC50,,6.51
CHEMBL132133,,=,Log IC50,,3.3
CHEMBL95,,=,Log IC50,,6.66
CHEMBL134488,,=,Log IC50,,5.73
CHEMBL134382,,=,Log IC50,,5.14
CHEMBL59109,5.52,=,IC50,uM,3.0
CHEMBL286990,4.97,=,IC50,uM,10.6
CHEMBL286990,,=,Kr,min-1,2400.0
CHEMBL286990,,=,Kr,M,3340000.0
CHEMBL286990,,=,KHOX,M-1 min-1,205.0
CHEMBL294891,6.40,=,IC50,uM,0.4
CHEMBL1255901,8.30,=,IC50,uM,0.005
CHEMBL95,6.59,=,IC50,uM,0.254
CHEMBL95,,=,Selectivity,,0.215
CHEMBL95,,=,Relative Selectivity,,1.0
CHEMBL89011,,=,IC50,uM,245.0
CHEMBL89011,,=,Selectivity,,0.027
CHEMBL89011,,=,Relative Selectivity,,0.13
CHEMBL748,,=,IC50,uM,366.0
CHEMBL748,,=,KHOX,M-1 min-1,482.0
CHEMBL50608,4.94,=,IC50,uM,11.48
CHEMBL50608,,=,Selectivity,,1.045
CHEMBL50608,,=,Relative Selectivity,,4.86
CHEMBL29300,5.17,=,IC50,uM,6.8
CHEMBL29300,,,KHOX,M-1 min-1,
CHEMBL27675,4.58,=,IC50,uM,26.5
CHEMBL27675,,,KHOX,M-1 min-1,
CHEMBL435373,5.70,=,IC50,uM,2.0
CHEMBL60167,6.17,=,IC50,uM,0.676
CHEMBL60167,,=,Selectivity,,6.91
CHEMBL60167,,=,Relative Selectivity,,32.14
CHEMBL89012,5.53,=,IC50,uM,2.98
CHEMBL89012,,=,Selectivity,,0.394
CHEMBL89012,,=,Relative Selectivity,,1.83
CHEMBL314800,4.73,=,IC50,uM,18.58
CHEMBL314800,,=,Selectivity,,0.264
CHEMBL314800,,=,Relative Selectivity,,1.22
CHEMBL553212,4.75,=,IC50,uM,17.9
CHEMBL553212,,=,Kr,min-1,1260.0
CHEMBL553212,,=,Kr,M,9370000.0
CHEMBL553212,,=,KHOX,M-1 min-1,38.2
CHEMBL156630,5.38,=,IC50,uM,4.19
CHEMBL315013,6.66,=,IC50,uM,0.219
CHEMBL315013,,,EC50,uM,
CHEMBL155754,6.64,=,IC50,uM,0.23
CHEMBL314658,6.12,=,IC50,uM,0.75
CHEMBL314658,,>,EC50,uM,30.0
CHEMBL87170,8.34,=,IC50,uM,0.0046
CHEMBL87170,7.00,=,EC50,uM,0.099
CHEMBL87959,6.41,=,IC50,uM,0.39
CHEMBL87295,5.59,=,IC50,uM,2.57
CHEMBL87295,,,EC50,uM,
CHEMBL82810,7.40,=,IC50,uM,0.04
CHEMBL82810,5.76,=,EC50,uM,1.72
CHEMBL157182,6.17,=,IC50,uM,0.67
CHEMBL88049,6.96,=,IC50,uM,0.11
CHEMBL88049,,>,EC50,uM,10.0
CHEMBL87128,6.55,=,IC50,uM,0.28
CHEMBL87128,,>,EC50,uM,3.0
CHEMBL160347,,,Inhibition,%,
CHEMBL160347,,,Inhibition,%,
CHEMBL160347,,,Inhibition,%,
CHEMBL160347,,,Inhibition,%,
CHEMBL160219,6.80,=,IC50,uM,0.16
CHEMBL445916,6.64,=,IC50,uM,0.23
CHEMBL85473,4.71,=,IC50,uM,19.58
CHEMBL85473,,>,EC50,uM,30.0
CHEMBL314502,,>,IC50,uM,1.0
CHEMBL87320,7.28,=,IC50,uM,0.053
CHEMBL87280,6.00,=,IC50,uM,1.0
CHEMBL87280,5.78,=,EC50,uM,1.67
CHEMBL348607,5.50,=,IC50,uM,3.17
CHEMBL313809,6.28,=,IC50,uM,0.52
CHEMBL313809,5.12,=,EC50,uM,7.67
CHEMBL87849,8.59,=,IC50,uM,0.0026
CHEMBL87849,5.78,=,EC50,uM,1.65
CHEMBL314398,6.92,=,IC50,uM,0.12
CHEMBL314398,6.19,=,EC50,uM,0.65
CHEMBL87373,6.96,=,IC50,uM,0.11
CHEMBL87373,,>,EC50,uM,3.0
CHEMBL156931,5.47,=,IC50,uM,3.36
CHEMBL83005,7.05,=,IC50,uM,0.09
CHEMBL83005,5.03,=,EC50,uM,9.43
CHEMBL315515,7.55,=,IC50,uM,0.028
CHEMBL441632,6.05,=,IC50,uM,0.9
CHEMBL441632,5.60,=,EC50,uM,2.5
CHEMBL87937,7.52,=,IC50,uM,0.03
CHEMBL87937,6.54,=,EC50,uM,0.29
CHEMBL441808,6.42,=,IC50,uM,0.38
CHEMBL441808,5.18,=,EC50,uM,6.6
CHEMBL87649,8.22,=,IC50,uM,0.006
CHEMBL87649,5.57,=,EC50,uM,2.7
CHEMBL160836,6.85,=,IC50,uM,0.14
CHEMBL160836,,=,Inhibition,%,15.1
CHEMBL160836,,=,Inhibition,%,19.4
CHEMBL160836,,=,Inhibition,%,30.9
CHEMBL160836,,=,Inhibition,%,0.2
CHEMBL156861,6.75,=,IC50,uM,0.18
CHEMBL314766,7.27,=,IC50,uM,0.054
CHEMBL315013,6.18,=,IC50,uM,0.665
CHEMBL315013,,,EC50,uM,
CHEMBL88026,8.10,=,IC50,uM,0.008
CHEMBL88026,7.72,=,EC50,uM,0.019
CHEMBL86233,5.00,=,IC50,uM,10.0
CHEMBL86233,,>,EC50,uM,30.0
CHEMBL155350,6.80,=,IC50,uM,0.16
CHEMBL433041,8.05,=,IC50,uM,0.009
CHEMBL433041,,=,Inhibition,%,33.2
CHEMBL433041,,=,Inhibition,%,52.3
CHEMBL433041,,=,Inhibition,%,72.9
CHEMBL433041,,=,Inhibition,%,20.8
CHEMBL155863,5.42,=,IC50,uM,3.84
CHEMBL87980,6.27,=,IC50,uM,0.54
CHEMBL87980,,>,EC50,uM,3.0
CHEMBL87441,8.15,=,IC50,uM,0.007
CHEMBL87441,,,EC50,uM,
CHEMBL315013,7.37,=,IC50,uM,0.043
CHEMBL315013,6.77,=,EC50,uM,0.17
CHEMBL158946,7.22,=,IC50,uM,0.06
CHEMBL158946,,,Inhibition,%,
CHEMBL158946,,,Inhibition,%,
CHEMBL158946,,,Inhibition,%,
CHEMBL158946,,,Inhibition,%,
CHEMBL315013,6.72,=,IC50,uM,0.19
CHEMBL87550,5.57,=,IC50,uM,2.67
CHEMBL87550,,>,EC50,uM,30.0
CHEMBL609440,8.35,=,IC50,uM,0.0045
CHEMBL609440,5.57,=,EC50,uM,2.67
CHEMBL350464,5.25,=,IC50,uM,5.68
CHEMBL313271,7.50,=,IC50,uM,0.032
CHEMBL423313,7.10,=,IC50,uM,0.079
CHEMBL309667,7.96,=,IC50,nM,10.9
CHEMBL419470,7.66,=,IC50,nM,22.1
CHEMBL80221,6.79,=,IC50,nM,161.0
CHEMBL94,7.55,=,IC50,nM,27.9
CHEMBL431844,7.50,=,IC50,nM,31.5
CHEMBL80247,7.86,=,IC50,nM,13.8
CHEMBL418917,7.39,=,IC50,nM,40.8
CHEMBL77896,5.96,=,IC50,nM,1090.0
CHEMBL369661,7.16,=,IC50,nM,68.9
CHEMBL419457,,,IC50,nM,
CHEMBL94,7.21,=,IC50,nM,61.0
CHEMBL502,8.63,=,IC50,nM,2.33
CHEMBL74089,7.68,=,IC50,nM,21.0
CHEMBL134057,8.03,=,IC50,nM,9.4
CHEMBL76640,5.00,=,IC50,nM,9890.0
CHEMBL76241,6.48,=,IC50,nM,330.0
CHEMBL431784,7.25,=,IC50,nM,56.7
CHEMBL51934,6.79,=,IC50,nM,164.0
CHEMBL352500,8.35,=,IC50,nM,4.5
CHEMBL311118,,,IC50,nM,
CHEMBL292314,8.74,=,IC50,nM,1.8
CHEMBL355740,7.07,=,IC50,nM,84.3
CHEMBL54727,7.62,=,IC50,nM,24.0
CHEMBL75919,5.46,=,IC50,nM,3500.0
CHEMBL95,7.47,=,IC50,nM,33.5
CHEMBL309351,6.64,=,IC50,nM,231.0
CHEMBL310934,,,IC50,nM,
CHEMBL75743,5.83,=,IC50,nM,1490.0
CHEMBL76135,4.39,=,IC50,nM,41130.0
CHEMBL440497,5.45,=,IC50,nM,3560.0
CHEMBL368196,7.38,=,IC50,nM,42.2
CHEMBL62084,6.13,=,IC50,nM,743.0
CHEMBL172118,5.96,=,IC50,nM,1100.0
CHEMBL1202875,6.15,=,IC50,nM,710.0
CHEMBL95,6.84,=,IC50,nM,143.0
CHEMBL62084,5.43,=,IC50,nM,3680.0
CHEMBL134057,7.41,=,IC50,nM,39.0
CHEMBL436367,6.34,=,IC50,nM,455.0
CHEMBL132365,6.21,=,IC50,nM,615.0
CHEMBL3215535,6.85,=,IC50,nM,140.0
CHEMBL1202865,6.92,=,IC50,nM,120.0
CHEMBL133520,6.47,=,IC50,nM,335.0
CHEMBL130373,7.38,=,IC50,nM,42.0
CHEMBL95,7.02,=,IC50,nM,95.0
CHEMBL1202884,6.72,=,IC50,nM,190.0
CHEMBL263198,6.44,=,IC50,nM,360.0
CHEMBL133906,7.00,=,IC50,nM,99.0
CHEMBL1204162,7.13,=,IC50,nM,74.0
CHEMBL134240,5.01,=,IC50,nM,9810.0
CHEMBL132030,7.11,=,IC50,nM,78.0
CHEMBL133448,6.37,=,IC50,nM,429.0
CHEMBL130880,6.18,=,IC50,nM,658.0
CHEMBL1202874,6.33,=,IC50,nM,470.0
CHEMBL133441,5.20,=,IC50,nM,6262.0
CHEMBL130427,5.58,=,IC50,nM,2600.0
CHEMBL134154,6.22,=,IC50,nM,606.0
CHEMBL132260,6.58,=,IC50,nM,266.0
CHEMBL1204299,7.41,=,IC50,nM,39.0
CHEMBL1204296,7.18,=,IC50,nM,66.0
CHEMBL1202885,6.72,=,IC50,nM,190.0
CHEMBL502,7.80,=,IC50,nM,16.0
CHEMBL337453,6.50,=,IC50,nM,313.0
CHEMBL335922,5.95,=,IC50,nM,1120.0
CHEMBL132619,6.82,=,IC50,nM,150.0
CHEMBL293316,,>,IC50,uM,10.0
CHEMBL61515,5.00,=,IC50,uM,10.0
CHEMBL54126,8.70,=,IC50,uM,0.002
CHEMBL544429,,=,Reactivation,%,4.3
CHEMBL544429,,=,Reactivation,%,2.8
CHEMBL544429,,=,Reactivation,%,21.0
CHEMBL442361,,>,IC50,uM,10.0
CHEMBL58034,,>,IC50,uM,10.0
CHEMBL61965,5.00,=,IC50,uM,10.0
CHEMBL59790,5.52,=,IC50,uM,3.0
CHEMBL556172,,=,Reactivation,%,63.0
CHEMBL556172,,=,Reactivation,%,83.0
CHEMBL556172,,=,Reactivation,%,80.0
CHEMBL556172,,=,K obs,min-1,5900.0
CHEMBL556172,,=,K obs,min-1,6820.0
CHEMBL556172,,=,K obs,min-1,11000.0
CHEMBL556172,,=,Reactivation,%,3.19
CHEMBL556172,,=,Reactivation,%,3.39
CHEMBL556172,,=,Reactivation,%,4.42
CHEMBL556172,,=,1/kobsd-ka,min,231.0
CHEMBL556172,,,1/kobsd-ka,min,190.0
CHEMBL556172,,,1/kobsd-ka,min,106.0
CHEMBL556172,,=,[EOP']infinity/[EOH]infinity,,3.12
CHEMBL556172,,,[EOP']infinity/[EOH]infinity,,2.37
CHEMBL556172,,,[EOP']infinity/[EOH]infinity,,0.203
CHEMBL556172,,=,ka/kr,,0.21
CHEMBL556172,,=,kaKr/kr,M,32000.0
CHEMBL556172,,=,Kr/kmax,M-min,140.0
CHEMBL556172,,=,1/kmax,min,103.0
CHEMBL556172,,=,ka,min-1,2000.0
CHEMBL556172,,=,kr,min-1,9300.0
CHEMBL556172,,=,Kr,M,13000.0
CHEMBL556172,,=,kb,M-1 min-1,70.0
CHEMBL556172,,=,k eff,M-1 min-1,34.0
CHEMBL556172,,=,k eff (rel),,3.1
CHEMBL62210,,>,IC50,uM,10.0
CHEMBL57003,,>,IC50,uM,10.0
CHEMBL544669,,=,Reactivation,%,8.0
CHEMBL544669,,=,Reactivation,%,8.0
CHEMBL544669,,=,Reactivation,%,9.0
CHEMBL291783,,>,IC50,uM,10.0
CHEMBL294498,,>,IC50,uM,10.0
CHEMBL300170,5.89,=,IC50,uM,1.3
CHEMBL539115,,=,Reactivation,%,5.6
CHEMBL539115,,=,Reactivation,%,9.5
CHEMBL539115,,=,Reactivation,%,18.0
CHEMBL61312,5.52,=,IC50,uM,3.0
CHEMBL293268,,>,IC50,uM,10.0
CHEMBL14577,,=,Reactivation,%,109.0
CHEMBL14577,,=,Reactivation,%,105.0
CHEMBL14577,,=,Reactivation,%,85.0
CHEMBL14577,,=,K obs,min-1,6570.0
CHEMBL14577,,=,K obs,min-1,9310.0
CHEMBL14577,,=,K obs,min-1,19600.0
CHEMBL14577,,=,K obs,min-1,20200.0
CHEMBL14577,,=,K obs,min-1,29800.0
CHEMBL14577,,=,K obs,min-1,125000.0
CHEMBL14577,,=,Reactivation,%,3.93
CHEMBL14577,,=,Reactivation,%,4.2
CHEMBL14577,,,Reactivation,%,
CHEMBL14577,,=,Reactivation,%,4.42
CHEMBL14577,,,Reactivation,%,
CHEMBL14577,,=,Reactivation,%,4.49
CHEMBL14577,,=,1/kobsd-ka,min,200.0
CHEMBL14577,,,1/kobsd-ka,min,129.0
CHEMBL14577,,,1/kobsd-ka,min,55.5
CHEMBL14577,,,1/kobsd-ka,min,53.6
CHEMBL14577,,,1/kobsd-ka,min,35.4
CHEMBL14577,,,1/kobsd-ka,min,8.13
CHEMBL14577,,=,[EOP']infinity/[EOH]infinity,,0.964
CHEMBL14577,,,[EOP']infinity/[EOH]infinity,,0.506
CHEMBL14577,,,[EOP']infinity/[EOH]infinity,,
CHEMBL14577,,,[EOP']infinity/[EOH]infinity,,0.203
CHEMBL14577,,,[EOP']infinity/[EOH]infinity,,
CHEMBL14577,,,[EOP']infinity/[EOH]infinity,,0.122
CHEMBL14577,,=,ka/kr,,0.11
CHEMBL14577,,=,kaKr/kr,M,75.0
CHEMBL14577,,=,Kr/kmax,M-min,1.7
CHEMBL14577,,=,1/kmax,min,15.0
CHEMBL14577,,=,ka,min-1,6700.0
CHEMBL14577,,=,kr,min-1,61000.0
CHEMBL14577,,=,Kr,M,1100.0
CHEMBL14577,,=,kb,M-1 min-1,5500.0
CHEMBL14577,,=,k eff,M-1 min-1,1600.0
CHEMBL14577,,=,k eff (rel),,145.0
CHEMBL544430,,=,Reactivation,%,56.0
CHEMBL544430,,=,Reactivation,%,65.0
CHEMBL544430,,=,Reactivation,%,71.0
CHEMBL544430,,=,K obs,min-1,7460.0
CHEMBL544430,,=,K obs,min-1,8170.0
CHEMBL544430,,=,K obs,min-1,10300.0
CHEMBL544430,,=,Reactivation,%,3.15
CHEMBL544430,,=,Reactivation,%,3.83
CHEMBL544430,,=,Reactivation,%,4.15
CHEMBL544430,,=,1/kobsd-ka,min,170.0
CHEMBL544430,,=,1/kobsd-ka,min,151.0
CHEMBL544430,,=,1/kobsd-ka,min,115.0
CHEMBL544430,,=,[EOP']infinity/[EOH]infinity,,3.29
CHEMBL544430,,,[EOP']infinity/[EOH]infinity,,1.17
CHEMBL544430,,,[EOP']infinity/[EOH]infinity,,0.576
CHEMBL544430,,=,ka/kr,,-0.018
CHEMBL544430,,=,kaKr/kr,M,19000.0
CHEMBL544430,,=,Kr/kmax,M-min,32.0
CHEMBL544430,,=,1/kmax,min,117.0
CHEMBL544430,,=,ka,min-1,190.0
CHEMBL544430,,=,kr,min-1,10000.0
CHEMBL544430,,=,Kr,M,2700.0
CHEMBL544430,,=,kb,M-1 min-1,380.0
CHEMBL544430,,=,k eff,M-1 min-1,108.0
CHEMBL544430,,=,k eff (rel),,9.8
CHEMBL293751,,>,IC50,uM,10.0
CHEMBL59192,6.00,=,IC50,uM,1.0
CHEMBL300176,,>,IC50,uM,10.0
CHEMBL61905,,>,IC50,uM,10.0
CHEMBL58511,5.00,=,IC50,uM,10.0
CHEMBL59074,5.98,=,IC50,uM,1.04
CHEMBL14598,,=,Reactivation,%,0.0
CHEMBL14598,,=,Reactivation,%,0.0
CHEMBL14598,,=,Reactivation,%,16.0
CHEMBL294674,,>,IC50,uM,10.0
CHEMBL57842,,>,IC50,uM,10.0
CHEMBL299898,,>,IC50,uM,10.0
CHEMBL60596,5.73,=,IC50,uM,1.85
CHEMBL62031,5.00,=,IC50,uM,10.0
CHEMBL60074,6.48,=,IC50,uM,0.33
CHEMBL554472,,=,Reactivation,%,13.0
CHEMBL554472,,=,Reactivation,%,28.0
CHEMBL554472,,=,Reactivation,%,23.0
CHEMBL59490,,>,IC50,uM,10.0
CHEMBL61180,,>,IC50,uM,10.0
CHEMBL60180,5.00,=,IC50,uM,10.0
CHEMBL537266,,=,Reactivation,%,31.0
CHEMBL537266,,=,Reactivation,%,58.0
CHEMBL537266,,=,Reactivation,%,55.0
CHEMBL537266,,=,K obs,min-1,3020.0
CHEMBL537266,,=,K obs,min-1,4400.0
CHEMBL537266,,=,K obs,min-1,5130.0
CHEMBL537266,,=,K obs,min-1,7120.0
CHEMBL537266,,=,K obs,min-1,7.24
CHEMBL537266,,=,K obs,min-1,6.9
CHEMBL537266,,=,K obs,min-1,7.65
CHEMBL537266,,=,Reactivation,%,3.3
CHEMBL537266,,=,Reactivation,%,3.49
