molecule_chembl_id,smiles,relation,value_nM,activity_type
CHEMBL307941,Clc1ccc(C2(c3cc4[nH]ccnc-4n3)CC2)cc1,=,1.0,inactive
CHEMBL305627,c1coc(-c2cc3[nH]ccnc-3n2)c1,=,15.0,inactive
CHEMBL310036,Clc1ccc(-c2[nH]c3nccnc3c2Cc2ccccc2)cc1,=,6.8,inactive
CHEMBL77267,c1c[nH]c2cc(-c3ccc(C4OCCO4)cc3)nc-2n1,=,20.0,inactive
CHEMBL76942,COc1ccc(-c2[nH]c3nccnc3c2CCCCl)cc1,=,2.5,inactive
CHEMBL76740,COc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,=,1.1,inactive
CHEMBL77584,Oc1ccccc1-c1cc2[nH]ccnc-2n1,=,6.5,inactive
CHEMBL80785,Oc1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,1.2,inactive
CHEMBL77416,c1ccc(-c2cc3[nH]ccnc-3n2)nc1,=,15.0,inactive
CHEMBL77066,COc1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,1.1,inactive
CHEMBL77002,COc1cc(OC)cc(-c2cc3[nH]ccnc-3n2)c1,=,60.0,inactive
CHEMBL76941,C=CCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,=,0.6,inactive
CHEMBL306498,CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,=,0.92,inactive
CHEMBL77540,Cc1c(-c2ccc(OS(=O)(=O)N(C)C)cc2)[nH]c2nccnc12,=,0.5,inactive
CHEMBL305901,c1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,2.3,inactive
CHEMBL77469,c1ccc(Cc2c(-c3ccccc3)[nH]c3nccnc23)cc1,=,1.0,inactive
CHEMBL77210,FC(F)(F)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,7.2,inactive
CHEMBL306263,Fc1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,1.9,inactive
CHEMBL312065,COc1cc(-c2cc3[nH]ccnc-3n2)cc(OC)c1OC,=,85.0,inactive
CHEMBL77095,CCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,=,1.8,inactive
CHEMBL74015,c1csc(-c2cc3[nH]ccnc-3n2)c1,=,1.2,inactive
CHEMBL78264,c1ccc2c(-c3cc4[nH]ccnc-4n3)cccc2c1,=,27.0,inactive
CHEMBL419273,COc1ccc(-c2[nH]c3nccnc3c2C)cc1OC,=,2.0,inactive
CHEMBL77697,N#Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,4.8,inactive
CHEMBL77217,CC(C)c1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,=,0.75,inactive
CHEMBL76427,Cc1c(C2(c3ccc(Cl)cc3)CC2)[nH]c2nccnc12,=,18.0,inactive
CHEMBL306347,Clc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,=,8.0,inactive
CHEMBL306355,CCCCc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,=,5.9,inactive
CHEMBL78165,Cc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,=,1.7,inactive
CHEMBL74133,Oc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,=,3.0,inactive
CHEMBL80644,COc1cccc(-c2cc3[nH]ccnc-3n2)c1,=,3.2,inactive
CHEMBL77458,CN(C)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,12.0,inactive
CHEMBL77947,COc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,=,6.8,inactive
CHEMBL307943,Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,2.6,inactive
CHEMBL77590,COc1ccccc1-c1cc2[nH]ccnc-2n1,=,3.3,inactive
CHEMBL309347,COc1ccc(-c2[nH]c3nccnc3c2C(C)C)cc1,=,0.5,inactive
CHEMBL77641,Cc1c(-c2ccc(O)cc2)[nH]c2nccnc12,=,0.52,inactive
CHEMBL76559,c1c[nH]c2cc(-c3ccsc3)nc-2n1,=,0.8,inactive
CHEMBL77211,Brc1ccc(-c2cc3[nH]ccnc-3n2)cc1,=,6.0,inactive
CHEMBL37811,Fc1cccc(CSc2nnc(-c3ccncc3)o2)c1,=,1.4,inactive
CHEMBL37342,O=C(Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1)NCCc1ccccc1F,=,1.2,inactive
CHEMBL416975,O=C(O)Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1,=,8.0,inactive
CHEMBL288588,O=C(O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,=,235.0,inactive
CHEMBL290436,O=C(O)c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,=,29.0,inactive
CHEMBL288064,Ic1cccc(CSc2nnc(-c3ccncc3)o2)c1,=,0.39,inactive
CHEMBL40022,c1ccc(CCSc2nnc(-c3ccncc3)o2)cc1,=,29.0,inactive
CHEMBL40004,Clc1ccccc1CSc1nnc(-c2ccncc2)o1,=,12.0,inactive
CHEMBL290211,O=C(O)Cc1ccc(CSc2nnc(-c3ccncc3)s2)cc1,=,11.0,inactive
CHEMBL40021,Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1,=,0.82,inactive
CHEMBL37652,Ic1ccc(CSc2nnc(-c3ccncc3)o2)cc1,=,198.0,inactive
CHEMBL37689,COC(=O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,=,1.1,inactive
CHEMBL26616,CCn1c(=S)n(C)s/c1=N\c1cccnc1,=,10.0,inactive
CHEMBL337300,O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12,=,0.009,active
CHEMBL24537,Cn1sc(=O)n(-c2ccc(Cl)cc2)c1=O,=,4.0,inactive
CHEMBL26101,CCn1sc(=O)n(CC)c1=S,=,20.0,inactive
CHEMBL24311,CCn1sc(=O)n(Cc2ccccc2)c1=S,=,6.0,inactive
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,=,0.023,active
CHEMBL24753,Cc1ccc(-n2c(=O)sn(C)c2=O)cc1,=,5.0,inactive
CHEMBL284125,CCn1sc(=N)n(-c2ccccc2)c1=O,=,65.0,inactive
CHEMBL26218,CCn1c(=O)sn(C)c1=O,=,5.0,inactive
CHEMBL24721,Cn1sc(=O)n(-c2ccc(Br)cc2)c1=O,=,3.0,inactive
CHEMBL24338,O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1,=,10.0,inactive
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,=,0.01,active
CHEMBL286009,CCCn1sc(=O)n(CC)c1=O,=,10.0,inactive
CHEMBL336961,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,=,0.018,active
CHEMBL26000,CCOC(=O)/N=c1\sn(C(=O)OCC)c(=S)n1-c1ccccc1,=,100.0,inactive
CHEMBL26551,CCn1c(=O)sn(C(C)C)c1=O,=,35.0,inactive
CHEMBL24693,CCn1c(=O)sn(C2CCCCC2)c1=O,=,10.0,inactive
CHEMBL23840,Cn1sc(=O)n(-c2ccccc2Br)c1=O,=,6.0,inactive
CHEMBL25820,Cn1sc(=O)n(-c2ccc(F)cc2)c1=O,=,4.0,inactive
CHEMBL417835,Cn1sc(=O)n(-c2ccc(C(F)(F)F)cc2)c1=O,=,6.0,inactive
CHEMBL26274,Cn1sc(=O)n(-c2cccc3ccccc23)c1=O,=,3.0,inactive
CHEMBL24073,O=c1sn(-c2ccccc2)c(=S)n1-c1ccccc1,=,8.0,inactive
CHEMBL25927,CCNC(=O)/N=c1\sn(CC)c(=O)n1-c1ccccc1,=,75.0,inactive
CHEMBL24773,CCCCn1c(=O)sn(CC)c1=O,=,70.0,inactive
CHEMBL287864,Cn1sc(=O)n(-c2ccccc2)c1=O,=,2.0,inactive
CHEMBL24494,Cn1sc(=O)n(-c2cccc(Br)c2)c1=O,=,4.0,inactive
CHEMBL284365,O=c1sn(Cc2ccccc2)c(=O)n1Cc1ccccc1,=,10.0,inactive
CHEMBL25829,CCn1sc(=O)n(CC)c1=O,=,25.0,inactive
CHEMBL26241,CCn1sc(=O)n(Cc2ccccc2)c1=O,=,7.0,inactive
CHEMBL134501,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccnc2N1,=,6.0,inactive
CHEMBL26515,COc1ccc(-n2c(=O)sn(C)c2=O)cc1,=,2.0,inactive
CHEMBL105620,CN1CCOCCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1,=,0.008,active
CHEMBL103506,CCN1CCOCCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1,=,0.004,active
CHEMBL321315,CN1CCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCCOCC1,=,0.004,active
CHEMBL102714,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,=,0.007,active
CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,=,0.018,active
CHEMBL105477,CN1CCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1,=,0.006,active
CHEMBL342402,O=C(CCl)c1cc(Cl)c(Cl)s1,=,2.5,inactive
CHEMBL142826,O=C(CBr)c1ccc(Br)cc1,=,0.5,inactive
CHEMBL143743,Cc1sc(C(=O)CCl)cc1C(=O)CCl,=,5.0,inactive
CHEMBL140045,O=C(CCl)c1ccc(Cl)s1,=,10.0,inactive
CHEMBL106072,O=C(CBr)c1ccc([N+](=O)[O-])cc1,=,2.0,inactive
CHEMBL332575,O=C1NC(=O)c2c1c1c3ccccc3ccc1c1[nH]c3ccccc3c21,=,4.38,inactive
CHEMBL103009,COc1ccc(C(=O)CBr)cc1,=,1.0,inactive
CHEMBL143273,O=C(CCl)c1c(Br)sc(Cl)c1Cl,=,2.0,inactive
CHEMBL102953,O=C(CBr)c1ccccc1,=,5.0,inactive
CHEMBL341572,O=C(CCl)c1c(Br)sc(Br)c1Br,=,1.0,inactive
CHEMBL341655,CC(=O)c1csc(C(=O)CCl)c1,=,8.0,inactive
CHEMBL143419,Cc1c(C(=O)CCl)csc1C(=O)CCl,=,5.0,inactive
CHEMBL143525,CC(=O)c1ccc(C(=O)CCl)s1,=,50.0,inactive
CHEMBL143090,O=C(CCl)c1ccc(Cl)cc1,=,2.5,inactive
CHEMBL335357,O=C(CCl)c1cc(Br)cs1,=,3.0,inactive
CHEMBL357136,O=C(CCl)c1scc(Br)c1Br,=,0.5,inactive
CHEMBL142824,Cc1ccc(C(=O)CBr)cc1,=,2.5,inactive
CHEMBL142711,O=C(CCl)c1cc(Br)c(Br)s1,=,1.0,inactive
CHEMBL359135,O=C(CCl)c1cccs1,=,50.0,inactive
CHEMBL142327,Cc1ccsc1C(=O)CCl,=,75.0,inactive
CHEMBL141190,O=C(CCl)c1csc(C(=O)CCl)c1,=,1.5,inactive
CHEMBL413032,O=C(CBr)c1ccc(-c2ccccc2)cc1,=,2.5,inactive
CHEMBL356459,O=C(CCl)c1cc(Cl)sc1Cl,=,5.0,inactive
CHEMBL140061,O=C(CBr)c1ccc(Cl)cc1,=,1.0,inactive
CHEMBL343821,O=C(CCl)c1cscc1Cl,=,25.0,inactive
CHEMBL142764,O=C(CCl)c1ccc(Br)s1,=,10.0,inactive
CHEMBL105712,O=C(CCl)c1ccccc1,=,50.0,inactive
CHEMBL132223,O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCn1cc2c2cccnc21,=,0.62,inactive
CHEMBL340935,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2cccnc21,=,0.017,active
CHEMBL131254,O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCOCCn1cc2c2cccnc21,=,0.403,inactive
CHEMBL336179,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCOCCn1cc2c2ccccc21,=,0.026,active
CHEMBL50226,Nc1nccc(-c2cc3ccccc3[nH]2)n1,=,420.0,inactive
CHEMBL296682,Nc1nccc(-c2c[nH]c3c(Br)ccc(O)c23)n1,=,2.5,inactive
CHEMBL44545,Nc1nccc(-c2c[nH]c3cc(Br)cc(O)c23)n1,=,0.5,inactive
CHEMBL46440,Nc1nccc(-c2c[nH]c3cc(Br)ccc23)n1,=,2.5,inactive
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,=,130.0,inactive
CHEMBL50498,Nc1nccc(-c2c[nH]c3cccc(O)c23)n1,=,1.3,inactive
CHEMBL296271,Nc1nccc(-c2c[nH]c3cc(Br)c(Br)cc23)n1,=,2.0,inactive
CHEMBL44541,Nc1nccc(-c2c[nH]c3ccc(Br)cc23)n1,=,2.0,inactive
CHEMBL178945,CN(C)CCCn1nc(C2=C(c3cn(-c4cccs4)c4ccccc34)C(=O)NC2=O)c2ccccc21,=,0.37,inactive
CHEMBL368895,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,=,1.9,inactive
CHEMBL360304,CN(C)CCCn1nc(C2=C(c3cn(-c4cccc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,=,0.89,inactive
CHEMBL359808,CN(C)CCCn1nc(C2=C(c3cn(-c4cncc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,=,1.3,inactive
CHEMBL359486,CN(C)CCCn1nc(C2=C(c3cn(-c4cnc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,=,3.9,inactive
CHEMBL426587,CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,=,4.8,inactive
CHEMBL367106,O=C1NC(=O)C(c2nn(CCCN3CCOCC3)c3ccccc23)=C1c1cn(-c2ccc3ccccc3c2)c2ccccc12,=,2.4,inactive
CHEMBL367107,O=C1NC(=O)C(c2nn(CCCN3CCCC3)c3ccccc23)=C1c1cn(-c2ccc3ccccc3c2)c2ccccc12,=,2.5,inactive
CHEMBL175845,CN1CCN(CCCn2nc(C3=C(c4cn(-c5ccc6ccccc6c5)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1,=,1.2,inactive
CHEMBL360573,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(C#N)cnn23)cc1,=,0.46,inactive
CHEMBL367150,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Cl)cnn23)cc1,=,5.1,inactive
CHEMBL178785,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Br)cnn23)cc1,=,3.4,inactive
CHEMBL180814,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(O[C@H]3CC[C@H](N)CC3)nc12,=,28.0,inactive
CHEMBL361231,CC(C)COc1cc(Nc2ccc(S(=O)(=O)N(C)C)cc2)n2ncc(C(C)C)c2n1,=,50.0,inactive
CHEMBL178268,CC(C)COc1cc(Nc2ccc(S(C)(=O)=O)cc2)n2ncc(C(C)C)c2n1,=,12.0,inactive
CHEMBL178769,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Br)cnn23)cc1Cl,=,8.7,inactive
CHEMBL181114,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4cccs4)cc3)n3ncc(Cl)c3n2)CC1,=,4.0,inactive
CHEMBL361833,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)n3ncc(Br)c3n2)CC1,=,5.3,inactive
CHEMBL361348,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(N[C@H]3CC[C@H](N)CC3)nc12,=,40.0,inactive
CHEMBL178179,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(C4CCCC4)cnn23)cc1,=,22.0,inactive
CHEMBL361007,O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,=,11.0,active
CHEMBL362588,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,=,1.6,active
CHEMBL181031,O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,=,0.3,active
CHEMBL178851,O=C1NC(=O)C(c2cnc3cnccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,=,8.7,active
CHEMBL368246,CC(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,=,5.0,active
CHEMBL181339,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)C1CCOCC1)CC2,=,7.7,active
CHEMBL179725,CC(C)C(=O)N1CCn2cc(C3=C(C4=CN=[N+]5C=CC=CC45)C(=O)NC3=O)c3cccc(c32)C1,=,13.0,active
CHEMBL360878,CCCCCC(=O)Nc1ncnc2oc(-c3ccc(OC)cc3)cc12,=,0.437,inactive
CHEMBL182560,COc1ccc(-c2cc3c(NC(=O)CCSC)ncnc3o2)cc1,=,0.537,inactive
CHEMBL362030,COc1ccc(-c2cc3c(NC(=O)C4CC4)ncnc3o2)cc1,=,0.316,inactive
CHEMBL181959,COc1ccc(-c2cc3c(NC(=O)C4CCCC4)ncnc3o2)cc1,=,0.03,active
CHEMBL182891,COc1ccc(-c2cc3c(NC(=O)CC4CCCC4)ncnc3o2)cc1,=,0.32,inactive
CHEMBL360340,COc1ccc(-c2cc3c(NC(=O)C4CCCCC4)ncnc3o2)cc1,=,1.82,inactive
CHEMBL181856,COc1ccc(-c2cc3c(NC(=O)N4CCCC4)ncnc3o2)cc1,=,1.95,inactive
CHEMBL183742,COc1ccc(-c2cc3c(NC(=O)c4ccco4)ncnc3o2)cc1,=,2.4,inactive
CHEMBL182904,O=C(Nc1ncnc2oc(-c3ccc(Cl)cc3)cc12)C1CC1,=,1.0,inactive
CHEMBL182283,Cc1ccc(-c2cc3c(NC(=O)C4CC4)ncnc3o2)cc1,=,0.617,inactive
CHEMBL183504,O=C(Nc1ncnc2oc(-c3ccc(F)cc3)cc12)C1CC1,=,0.575,inactive
CHEMBL361196,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CC1,=,0.005,active
CHEMBL183038,O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CCCC1,=,0.02,active
CHEMBL183171,O=C(Nc1ncnc2oc(-c3ccc(Cl)cc3)cc12)C1CCCC1,=,0.55,inactive
CHEMBL182419,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CCCC1,=,0.005,active
CHEMBL363058,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,=,1.3,active
CHEMBL186290,Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,=,5.2,active
CHEMBL178737,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,=,1.3,active
CHEMBL383104,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,=,0.3,inactive
CHEMBL380331,NS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,=,0.78,inactive
CHEMBL382607,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)n3ncnc3n2)CC1,=,50.0,inactive
CHEMBL206659,CS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,=,43.0,inactive
CHEMBL202695,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,=,20.0,inactive
CHEMBL203571,CCN(CC)c1cc(Nc2ccc(S(N)(=O)=O)cc2)n2ncnc2n1,=,11.0,inactive
CHEMBL203569,NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,=,0.97,inactive
CHEMBL206109,NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1,=,29.0,inactive
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,=,7.5,inactive
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,=,36.0,inactive
CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,=,13.0,active
CHEMBL201511,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,=,1.1e-06,inactive
CHEMBL231950,C/C(=C1/SC(=N)NC1=O)c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1,=,0.43,inactive
CHEMBL396614,N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(Cl)c3)o2)S1,=,0.014,active
CHEMBL233970,N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,=,0.002,active
CHEMBL233554,CN(C)CCNS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=N)NC3=O)o2)cc1,=,0.51,inactive
CHEMBL247067,CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,=,0.007,active
CHEMBL1162963,CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,=,0.003,active
CHEMBL396327,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,=,0.03,active
CHEMBL397771,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,=,0.011,active
CHEMBL247271,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCc1ccc(c(N3CCCC3)n1)CCCCn1cc2c2ccccc21,=,0.024,active
CHEMBL436837,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3nc(-c4ccc(Cl)cc4Cl)[nH]c23)cc1,=,15.0,active
CHEMBL400745,O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12,=,1000.0,inactive
CHEMBL399140,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccccc4)nc23)cc1,=,25.0,active
CHEMBL399139,O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12,=,580.0,inactive
CHEMBL250714,O=C(NCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12,=,870.0,inactive
CHEMBL249530,Brc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,=,0.57,inactive
CHEMBL250148,Brc1cnn2c(NCOc3cccnc3)cc(-c3ccccc3)nc12,=,0.6,inactive
CHEMBL249947,Fc1ccccc1-c1cc(NCc2ccccc2)n2ncc(Br)c2n1,=,15.2,inactive
CHEMBL400240,CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,=,0.45,inactive
CHEMBL400239,Fc1ccccc1-c1cc(Nc2ccccc2)n2ncc(Br)c2n1,=,13.31,inactive
CHEMBL404208,Brc1cnn2c(NCc3cccnc3)cc(-c3cccs3)nc12,=,0.48,inactive
CHEMBL250145,Brc1cnn2c(NCc3cccnc3)cc(-c3ccco3)nc12,=,0.31,inactive
CHEMBL251196,Brc1cnn2c(NCc3cccnc3)cc(C3CCNCC3)nc12,=,0.41,inactive
CHEMBL251393,Brc1cnn2c(NCc3cccnc3)cc(C3CCCCC3)nc12,=,0.027,active
CHEMBL249165,CSc1cc(NCc2cccnc2)n2ncc(Br)c2n1,=,1.18,inactive
CHEMBL250386,COc1cc(NCc2cccnc2)n2ncc(Br)c2n1,=,1.41,inactive
CHEMBL399078,CNc1cc(NCc2cccnc2)n2ncc(Br)c2n1,=,4.6,inactive
CHEMBL250183,CCOC(=O)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,=,0.79,inactive
