molecule_chembl_id,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL250369,CC(C)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,345.05890761200004,5,1,3.622300000000002,inactive
CHEMBL398670,CCc1cc(NCc2cccnc2)n2ncc(Br)c2n1,331.04325754800004,5,1,3.061300000000001,inactive
CHEMBL249141,Cc1cc(NCc2cccnc2)n2ncc(Br)c2n1,317.02760748400004,5,1,2.8073200000000007,inactive
CHEMBL398647,N#CCc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,340.143644512,6,1,3.4694800000000017,inactive
CHEMBL399287,CSc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,347.12046654400007,6,1,4.125300000000003,inactive
CHEMBL249734,C#Cc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,325.13274548000004,5,1,3.3847000000000014,inactive
CHEMBL249531,CCc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,329.16404560800004,5,1,3.9658000000000024,inactive
CHEMBL251886,COCCn1cc(-c2ccnc(Nc3ccccc3)n2)c2ccccc21,344.16371126,5,1,4.488300000000003,inactive
CHEMBL251885,COCCn1cc(-c2ccnc(Nc3cccc(OC)c3)n2)c2cccnc21,375.16952491200004,7,1,3.8919000000000024,inactive
CHEMBL403406,COCCn1cc(-c2ccnc(Nc3ccccc3)n2)c2cccnc21,345.15896022800007,6,1,3.883300000000002,inactive
CHEMBL403405,COc1cccc(Nc2nccc(C3=C(c4ccccc4)NN4C=CC=CC34)n2)c1,395.17461029200007,6,2,4.369400000000003,active
CHEMBL403404,Cc1ccc(Cl)cc1Nc1nccc(C2=CNN3C=CC=CC23)n1,337.109423192,5,2,3.7952200000000014,inactive
CHEMBL270265,CCCC1=C(c2nnc(C)o2)C(c2cccc(C#N)c2Br)c2c[nH]nc2N1,424.06472126400007,6,2,4.504100000000003,active
CHEMBL408564,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1,346.006537692,4,2,3.328900000000001,active
CHEMBL272629,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,349.1174893400001,7,2,0.7758999999999994,active
CHEMBL3085387,CN1CCC(C2=C(C#N)[C@H](c3cccc4nonc34)c3c[nH]nc3N2)CC1,361.1651082280001,7,2,2.6227800000000006,active
CHEMBL270473,Cc1cc(-c2cc(-c3nc4ccc(CN5CCN(C)CC5)cc4[nH]3)c(=O)[nH]n2)cc(C)c1O,444.22737413600004,6,3,3.0500400000000005,active
CHEMBL270046,O=C1NC(=S)S/C1=C\c1ccccc1OS(=O)(=O)c1ccccc1[N+](=O)[O-],421.9700990399999,8,1,2.851300000000001,inactive
CHEMBL270262,COc1ccc(-c2ccc(/C=C3\SC(=S)NC3=O)o2)c([N+](=O)[O-])c1,362.0031134199999,7,1,3.3522000000000016,inactive
CHEMBL270045,O=C1NC(=S)S/C1=C\c1ccc(O)c([N+](=O)[O-])c1,281.976898672,6,2,1.7892,inactive
CHEMBL346551,O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,264.089877624,3,2,2.1662,inactive
